Model,Accuracy,Precision,Recall,F1-Score
gemma_4_e4b,0.85,0.9,0.8181818181818182,0.8571428571428571
qwen_3_8b,0.75,0.875,0.6363636363636364,0.7368421052631579
gemma_4_e2b,0.65,0.5384615384615384,0.875,0.6666666666666666
gemma_3_4b,0.8,0.7333333333333333,1.0,0.8461538461538461
deepseek_r1_1_5b,0.58,0.5555555555555556,0.8,0.6557377049180327
gemma_2_9b,0.65,0.625,0.9090909090909092,0.7407407407407407
stablelm2_1_6b,0.54,0.5263157894736842,0.8,0.6349206349206349
smollm3_3b,0.75,0.7142857142857143,0.625,0.6666666666666666
